City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,seiersberg,47.0134,15.3964,22.88,84,75,2.06,AT,1718917294
143,santa cruz,-17.8,-63.1667,29.7,65,20,6.69,BO,1718917175
144,kodiak,57.79,-152.4072,8.73,93,100,4.12,US,1718917296
145,baiti,13.745,-14.7482,35.73,34,3,2.95,SN,1718917297
146,cooper's town,26.8667,-77.5167,27.2,77,31,1.11,BS,1718917298
147,queenstown,-31.8976,26.8753,9.02,45,100,1.96,ZA,1718917300
148,olonkinbyen,70.9221,-8.7187,1.33,88,100,3.23,SJ,1718917301
149,sisimiut,66.9395,-53.6735,2.49,98,100,3.24,GL,1718917302
150,chonchi,-42.6128,-73.8092,7.84,93,100,6.26,CL,1718917303
151,anadyr,64.75,177.4833,3.28,100,100,4.0,RU,1718917304
152,port mathurin,-19.6833,63.4167,22.83,73,36,11.86,MU,1718917305
153,carauari,-4.8828,-66.8958,28.88,73,100,1.54,BR,1718917308
154,nova sintra,14.8667,-24.7167,23.74,84,64,10.48,CV,1718917309
155,colares,38.7992,-9.4469,17.82,79,40,8.94,PT,1718917310
156,portland,45.5234,-122.6762,32.56,33,4,1.79,US,1718917264
157,hasaki,35.7333,140.8333,21.27,90,100,5.0,JP,1718917296
158,el hamma,33.8915,9.7963,24.62,47,0,4.96,TN,1718917313
159,ingeniero jacobacci,-41.3427,-69.5448,-0.63,84,100,8.32,AR,1718917314
160,jinchang,38.4953,102.1739,17.23,48,29,2.8,CN,1718917316
161,houlton,46.1262,-67.8403,33.23,39,20,4.12,US,1718917317
162,adelia maria,-33.6315,-64.021,13.69,77,100,5.36,AR,1718917318
163,bikenibeu village,1.3673,173.1241,28.98,79,20,5.14,KI,1718917319
164,nanga eboko,4.6833,12.3667,20.99,96,85,0.44,CM,1718917320
165,baganga,7.5739,126.56,25.41,89,99,1.58,PH,1718917321
166,sinop,41.7711,34.8709,17.69,70,0,1.3,TR,1718917322
167,nema,57.5067,50.5011,17.11,98,36,2.76,RU,1718917324
168,tralee,52.2704,-9.7026,13.45,86,99,2.41,IE,1718917325
169,hilton head island,32.2163,-80.7526,31.03,64,13,2.68,US,1718917217
170,ta`u,-14.2336,-169.5144,27.55,76,24,6.95,AS,1718917327
171,kayangel,8.0823,134.7173,27.6,76,86,1.4,PW,1718917328
172,malindi,-3.2175,40.1191,24.71,84,3,6.86,KE,1718917329
173,afaahiti,-17.75,-149.2833,26.93,65,60,5.6,PF,1718917331
174,yulinshi,38.2906,109.7494,18.4,80,100,3.21,CN,1718917332
175,quellon,-43.1167,-73.6167,7.26,79,100,9.93,CL,1718917333
176,kerikeri,-35.2268,173.9474,13.27,84,96,2.21,NZ,1718917111
177,hithadhoo,-0.6,73.0833,28.36,75,62,3.17,MV,1718917294
178,ilulissat,69.2167,-51.1,9.01,61,20,2.06,GL,1718917336
179,adamovka,51.5223,59.9396,17.25,77,56,4.91,RU,1718917338
180,lakatoro,-16.0999,167.4164,25.95,85,94,6.87,VU,1718917339
181,tuba city,36.135,-111.2399,27.68,38,49,3.29,US,1718917341
182,san julian,21.0167,-102.1667,18.67,74,100,3.87,MX,1718917342
183,fengkou,30.0833,113.2667,26.02,93,100,4.17,CN,1718917343
